LocusTag	gene_description	protein_Id	nrPeptides	IDcolumn	protein_length	mean_iBAQ	AGU	gene	diff.PASNvsTSB_givenAncestor	FDR.PASNvsTSB_givenAncestor	statistic.PASNvsTSB_givenAncestor
RSAU_000246	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_000247	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_000248	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_000249	putative lipoprotein	lcl_CP006706.1_prot_AGU54121.1_237	4	lcl_CP006706.1_prot_AGU54121.1_237	125	1151.704972222222	AGU54121.1	NA	-0.1750160846868174	0.4351087893665283	-0.9885898831860709
RSAU_000250	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_000251	formate/nitrite transporter, putative	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_000252	branched-chain amino acid transport system II carrier protein, putative	lcl_CP006706.1_prot_AGU54124.1_240	2	lcl_CP006706.1_prot_AGU54124.1_240	426	603.2854890625	AGU54124.1	brnQ	-0.1211698854644849	0.6562975360885694	-0.5866800986533296
RSAU_000253	secreted acid phosphatase, putative	lcl_CP006706.1_prot_AGU54125.1_241	14	lcl_CP006706.1_prot_AGU54125.1_241	296	496250.06474999996	AGU54125.1	NA	0.5579090384199011	0.1951525999338865	1.609710263450382
RSAU_000254	ABC transporter, permease protein	lcl_CP006706.1_prot_AGU54126.1_242	13	lcl_CP006706.1_prot_AGU54126.1_242	349	3253.4795717948714	AGU54126.1	NA	0.3567108869721431	0.05447465139590995	2.418575013094068
RSAU_000255	ABC transporter, ATP-binding protein	lcl_CP006706.1_prot_AGU54127.1_243	1	lcl_CP006706.1_prot_AGU54127.1_243	225	363.22074999999995	AGU54127.1	NA	0.1024098498300606	0.7240679450218362	0.4695489101831473
RSAU_000256	phosphotransferase system IIC component-like protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_000257	PfkB family carbohydrate kinase family, putative	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_000258	pseudouridine-5'-phosphate glycosidase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_000259	nucleoside permease NupC, putative	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_000260	sodium:solute symporter family protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_001097	polypeptide deformylase def2	lcl_CP006706.1_prot_AGU54927.1_1043	4	lcl_CP006706.1_prot_AGU54927.1_1043	162	1261.9629416666664	AGU54927.1	def2	0.7100967829647931	5.575210557250718e-4	4.867309484260739
RSAU_001098	methionyl-tRNA formyltransferase	lcl_CP006706.1_prot_AGU54928.1_1044	18	lcl_CP006706.1_prot_AGU54928.1_1044	311	7747.497650520835	AGU54928.1	fmt	-0.3512917852450548	0.06010460556275252	-2.357251988994502
RSAU_001099	ribosomal RNA small subunit methyltransferase B	lcl_CP006706.1_prot_AGU54929.1_1045	10	lcl_CP006706.1_prot_AGU54929.1_1045	435	2051.3264916666667	AGU54929.1	sun	-0.4397882395579377	0.01280380381824836	-3.218574181436346
RSAU_001100	ribosomal RNA large subunit methyltransferase N, putative	lcl_CP006706.1_prot_AGU54930.1_1046	9	lcl_CP006706.1_prot_AGU54930.1_1046	364	1394.9260208333335	AGU54930.1	rlmN	-1.329759034413754	3.807466639434546e-4	-5.07097297200084
RSAU_001101	PP2C protein phosphatase, putative	lcl_CP006706.1_prot_AGU54931.1_1047	7	lcl_CP006706.1_prot_AGU54931.1_1047	247	5290.672412051282	AGU54931.1	NA	-0.02730835286382963	0.8438166917994089	-0.2653975041368671
RSAU_001102	serine/threonine-protein kinase PknB	lcl_CP006706.1_prot_AGU54932.1_1048	32	lcl_CP006706.1_prot_AGU54932.1_1048	664	4323.213912068967	AGU54932.1	pknB	-0.6060763357538144	0.02009327235967966	-2.980483932986318
RSAU_001103	GTPase engC, putative	lcl_CP006706.1_prot_AGU54933.1_1049	3	lcl_CP006706.1_prot_AGU54933.1_1049	291	1068.3759318452383	AGU54933.1	engC	-2.239643239970936	0.003980526699871996	-3.827362956475953
RSAU_001104	ribulose-phosphate 3-epimerase	lcl_CP006706.1_prot_AGU54934.1_1050	1	lcl_CP006706.1_prot_AGU54934.1_1050	214	1443.1204236111107	AGU54934.1	rpe	0.2665521755141269	0.5629600767176681	0.7440204805857548
RSAU_001105	thiamine pyrophosphokinase	lcl_CP006706.1_prot_AGU54935.1_1051	2	lcl_CP006706.1_prot_AGU54935.1_1051	213	274.89127243589746	AGU54935.1	thiN	0.6725463060273673	0.2147423387392373	1.541402297937628
RSAU_001106	50S ribosomal protein L28	lcl_CP006706.1_prot_AGU54936.1_1052	6	lcl_CP006706.1_prot_AGU54936.1_1052	62	64315.02332291668	AGU54936.1	rpmB	0.4246046115329074	0.2396559449813752	1.46178121880443
RSAU_001107	alkaline-shock protein, putative	lcl_CP006706.1_prot_AGU54937.1_1053	4	lcl_CP006706.1_prot_AGU54937.1_1053	124	25178.048375	AGU54937.1	NA	0.07601152879792948	0.4887066659276411	0.8810422826180165
RSAU_001108	dihydroxyacetone kinase domain protein YloV, putative	lcl_CP006706.1_prot_AGU54938.1_1054	21	lcl_CP006706.1_prot_AGU54938.1_1054	548	22830.727788942313	AGU54938.1	NA	-0.507793461438257	0.001313888953560668	-4.412919134399037
RSAU_001109	ATP-dependent DNA helicase RecG	lcl_CP006706.1_prot_AGU54939.1_1055	7	lcl_CP006706.1_prot_AGU54939.1_1055	686	778.883874702381	AGU54939.1	recG	0.5579985440463484	0.01975638868922101	2.990535385789678
RSAU_001110	fatty acid biosynthesis transcriptional regulator, putative	lcl_CP006706.1_prot_AGU54940.1_1056	4	lcl_CP006706.1_prot_AGU54940.1_1056	190	1201.0489583333333	AGU54940.1	NA	0.4271911056706054	0.3133455510853502	1.263630008540812
RSAU_001111	fatty acid-phospholipid biosynthesis protein PlsX	lcl_CP006706.1_prot_AGU54941.1_1057	9	lcl_CP006706.1_prot_AGU54941.1_1057	328	10768.887281944446	AGU54941.1	plsX	0.363278977139877	0.037968823641726	2.631103279458816
RSAU_001112	malonyl CoA-acyl carrier protein transacylase	lcl_CP006706.1_prot_AGU54942.1_1058	12	lcl_CP006706.1_prot_AGU54942.1_1058	308	29002.974144318174	AGU54942.1	fabD	0.5629913593069169	0.00284495843798515	4.000565083909794
RSAU_001113	3-oxoacyl-[acyl-carrier protein] reductase	lcl_CP006706.1_prot_AGU54943.1_1059	14	lcl_CP006706.1_prot_AGU54943.1_1059	246	32941.51598392857	AGU54943.1	fabG	0.07093744614789071	0.7028227732477901	0.5086983317628497
RSAU_001114	acyl carrier protein	lcl_CP006706.1_prot_AGU54944.1_1060	7	lcl_CP006706.1_prot_AGU54944.1_1060	77	1240201.9066729166	AGU54944.1	acpP	-0.5347667346944015	0.243844315248615	-1.448154557627618
RSAU_001115	Ribonuclease III	lcl_CP006706.1_prot_AGU54945.1_1061	8	lcl_CP006706.1_prot_AGU54945.1_1061	243	2580.652776136364	AGU54945.1	rnc	0.1784290656461048	0.3368634498394701	1.207693276449706
RSAU_001116	chromosome segregation SMC protein, putative	lcl_CP006706.1_prot_AGU54946.1_1062	52	lcl_CP006706.1_prot_AGU54946.1_1062	1188	3105.4759645277777	AGU54946.1	smc	-0.5417681557729344	0.03550129529181922	-2.668071050074599
RSAU_001117	signal recognition particle-docking protein FtsY	lcl_CP006706.1_prot_AGU54947.1_1063	14	lcl_CP006706.1_prot_AGU54947.1_1063	416	14750.558942892158	AGU54947.1	ftsY	0.03041859410834073	0.8021140184461342	0.3401889522604679
RSAU_001118	Sigma70 region 4-domain containing protein	lcl_CP006706.1_prot_AGU54948.1_1064	6	lcl_CP006706.1_prot_AGU54948.1_1064	110	4367.827908333334	AGU54948.1	NA	-0.1536911940126603	0.3275802708784954	-1.229544487440547
RSAU_001119	signal recognition particle protein	lcl_CP006706.1_prot_AGU54949.1_1065	19	lcl_CP006706.1_prot_AGU54949.1_1065	455	9281.893350166667	AGU54949.1	ffh	0.2577827846017376	0.04724307980553046	2.502131571901569
RSAU_001120	30S ribosomal protein S16	lcl_CP006706.1_prot_AGU54950.1_1066	4	lcl_CP006706.1_prot_AGU54950.1_1066	91	66018.88891666666	AGU54950.1	rpsP	-0.949465635238901	9.066097042044846e-5	-5.860503063189967
RSAU_001121	16S rRNA processing protein RimM	lcl_CP006706.1_prot_AGU54951.1_1067	7	lcl_CP006706.1_prot_AGU54951.1_1067	167	4644.266499537037	AGU54951.1	rimM	0.2240718543858084	0.1331446137283506	1.858929079445861
RSAU_001122	tRNA (Guanine-1)-methyltransferase	lcl_CP006706.1_prot_AGU54952.1_1068	4	lcl_CP006706.1_prot_AGU54952.1_1068	245	2468.9382142857153	AGU54952.1	trmD	0.2729879659882915	0.2741867414589017	1.364924470280838
RSAU_001123	50S ribosomal protein L19	lcl_CP006706.1_prot_AGU54953.1_1069	14	lcl_CP006706.1_prot_AGU54953.1_1069	116	385425.3997937499	AGU54953.1	rplS	-0.3125423724472562	0.3121726151161506	-1.267583075981886
RSAU_001124	putative membrane protein	lcl_CP006706.1_prot_AGU54954.1_1070	8	lcl_CP006706.1_prot_AGU54954.1_1070	868	601.6502678571428	AGU54954.1	NA	0.00853212780708076	0.9740012361618132	0.04231871294556092
RSAU_001236	DNA topoisomerase IV, subunit B	lcl_CP006706.1_prot_AGU55065.1_1181	33	lcl_CP006706.1_prot_AGU55065.1_1181	665	6818.652492025462	AGU55065.1	parE	-0.285837317319471	0.005428568904587578	-3.671876047997804
RSAU_001237	DNA topoisomerase IV, A subunit	lcl_CP006706.1_prot_AGU55066.1_1182	36	lcl_CP006706.1_prot_AGU55066.1_1182	800	6188.620808229167	AGU55066.1	parC	-0.5067084634285522	0.2601569316478594	-1.400245146149345
RSAU_001238	sodium:alanine symporter family protein, putative	lcl_CP006706.1_prot_AGU55067.1_1183	5	lcl_CP006706.1_prot_AGU55067.1_1183	486	6341.020626315788	AGU55067.1	alsT	-0.3692827446924168	0.01471850591197719	-3.267214920534744
RSAU_001239	transcriptional antiterminator	lcl_CP006706.1_prot_AGU55068.1_1184	6	lcl_CP006706.1_prot_AGU55068.1_1184	283	2840.2143397435902	AGU55068.1	glcT	0.4015887098123481	0.03367280458576553	2.695340646995427
RSAU_001240	putative membrane protein	lcl_CP006706.1_prot_AGU55069.1_1185	8	lcl_CP006706.1_prot_AGU55069.1_1185	402	4333.344666388888	AGU55069.1	NA	-0.2172065172186646	0.1624251443561096	-1.731211415871541
RSAU_001241	oxacillin resistance-related FmtC protein	lcl_CP006706.1_prot_AGU55070.1_1186	11	lcl_CP006706.1_prot_AGU55070.1_1186	840	2397.0439789930556	AGU55070.1	fmtC	0.1733001468325018	0.4165523683004758	1.028580964142034
RSAU_001242	methionine sulfoxide reductase A	lcl_CP006706.1_prot_AGU55071.1_1187	7	lcl_CP006706.1_prot_AGU55071.1_1187	169	12991.136395833331	AGU55071.1	msrA	-0.2955417817174815	0.1403111551652222	-1.824972127166955
RSAU_001243	peptide methionine sulfoxide reductase transcriptional regulator MsrR	lcl_CP006706.1_prot_AGU55072.1_1188	20	lcl_CP006706.1_prot_AGU55072.1_1188	327	9801.499497135415	AGU55072.1	msrR	-0.06295083837880157	0.7960618259414572	-0.3533061532708989
RSAU_001244	4-oxalocrotonate tautomerase, putative	lcl_CP006706.1_prot_AGU55073.1_1189	2	lcl_CP006706.1_prot_AGU55073.1_1189	62	4887.088555555556	AGU55073.1	dmpI	0.764805864232486	0.355698487296298	1.162591741294271
RSAU_001245	DNA polymerase V, umuC subunit, putative	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_001246	prephenate dehydrogenase	lcl_CP006706.1_prot_AGU55075.1_1191	1	lcl_CP006706.1_prot_AGU55075.1_1191	363	7.338845486111111	AGU55075.1	tyrA	0.09293166917646443	0.9439776145425297	0.09327366438572728
RSAU_001247	M42-like peptidase, putative	lcl_CP006706.1_prot_AGU55076.1_1192	10	lcl_CP006706.1_prot_AGU55076.1_1192	343	5536.165608333334	AGU55076.1	NA	-0.4614293854492308	7.579504687029772e-4	-4.699803587209699
RSAU_001248	anthranilate synthase component I	lcl_CP006706.1_prot_AGU55077.1_1193	4	lcl_CP006706.1_prot_AGU55077.1_1193	468	50.831275000000005	AGU55077.1	trpE	-1.134493845704746	0.3080855254143302	-1.328646703027662
RSAU_001249	anthranilate synthase component II	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_001250	anthranilate phosphoribosyltransferase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_001251	indole-3-glycerol phosphate synthase, putative	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_001252	N-5'-phosphoriborylanthranilate isomerase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_001253	tryptophan synthase, beta subunit	lcl_CP006706.1_prot_AGU55082.1_1198	2	lcl_CP006706.1_prot_AGU55082.1_1198	404	42.00735630252101	AGU55082.1	trpB	0.02513705833194886	0.9725254868841713	0.0451380663240623
RSAU_001254	tryptophan synthase, alpha subunit	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_001255	Aminoacyltransferase FemA (Factor essential for expression of methicillin resistance A)	lcl_CP006706.1_prot_AGU55084.1_1200	19	lcl_CP006706.1_prot_AGU55084.1_1200	420	24420.311436519605	AGU55084.1	femA	0.6901517797792687	0.003509029501023402	3.891838644107414
RSAU_001256	methicillin resistance protein FemB	lcl_CP006706.1_prot_AGU55085.1_1201	14	lcl_CP006706.1_prot_AGU55085.1_1201	419	7547.236679563492	AGU55085.1	femB	-0.07774635124134023	0.710611918919846	-0.4922322522242109
RSAU_001257	sugar phosphate hydrolase, putative	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_001258	SWIM zinc finger protein, putative	lcl_CP006706.1_prot_AGU55087.1_1203	5	lcl_CP006706.1_prot_AGU55087.1_1203	157	1877.1821083333332	AGU55087.1	NA	-0.365862393472166	0.3986585225796818	-1.066850140876127
RSAU_001259	oligopeptide ABC transporter, ATP-binding protein, putative	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_001260	oligopeptide ABC transporter, ATP-binding protein, putative	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_001261	oligopeptide ABC transporter, permease protein, putative	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_001262	oligopeptide ABC transporter membrane permease, putative	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_001451	DNA polymerase III, delta subunit	lcl_CP006706.1_prot_AGU55277.1_1393	10	lcl_CP006706.1_prot_AGU55277.1_1393	324	2053.6793798245612	AGU55277.1	holA	-0.4679909421296247	0.1892045000669693	-1.631908485759008
RSAU_001452	DNA internalization-related competence protein ComEC/Rec2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_001453	late competence deaminase protein	lcl_CP006706.1_prot_AGU55279.1_1395	8	lcl_CP006706.1_prot_AGU55279.1_1395	153	13257.540593750002	AGU55279.1	comEB	0.3435322139217143	0.06147843150652762	2.34457652066672
RSAU_001454	comE operon protein 1-related protein ComEA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_001455	methyltransferase, putative	lcl_CP006706.1_prot_AGU55281.1_1397	1	lcl_CP006706.1_prot_AGU55281.1_1397	238	499.71648809523816	AGU55281.1	NA	0.2653998905094604	0.4022689317558354	1.057770630420912
RSAU_001456	iojap-related protein	lcl_CP006706.1_prot_AGU55282.1_1398	9	lcl_CP006706.1_prot_AGU55282.1_1398	117	4184.497703240741	AGU55282.1	NA	0.4453985904590523	0.005365102247889816	3.679583999333232
RSAU_001457	putative metal dependent phosphohydrolases with conserved 'HD' motif	lcl_CP006706.1_prot_AGU55283.1_1399	6	lcl_CP006706.1_prot_AGU55283.1_1399	194	6720.514378333334	AGU55283.1	NA	0.04010317052628128	0.7995412086212509	0.3462395936523697
RSAU_001458	nicotinate/nicotinamide nucleotide adenylyltransferase	lcl_CP006706.1_prot_AGU55284.1_1400	6	lcl_CP006706.1_prot_AGU55284.1_1400	189	804.0900284090908	AGU55284.1	nadD	0.5346027949496478	0.3455979263147888	1.186856469856749
RSAU_001459	CRM domain ribosomal assembly protein, putative	lcl_CP006706.1_prot_AGU55285.1_1401	6	lcl_CP006706.1_prot_AGU55285.1_1401	96	27130.795910416662	AGU55285.1	yhbY	-0.4962412449177701	0.03898414483203516	-2.615734588206039
RSAU_001460	shikimate 5-dehydrogenase	lcl_CP006706.1_prot_AGU55286.1_1402	9	lcl_CP006706.1_prot_AGU55286.1_1402	268	3307.7289133928566	AGU55286.1	aroE	-0.003194623597853508	0.9907510198741648	-0.01646660887862608
RSAU_001461	GTPase, putative	lcl_CP006706.1_prot_AGU55287.1_1403	12	lcl_CP006706.1_prot_AGU55287.1_1403	366	4051.839648529413	AGU55287.1	yqeH	-0.2665183300692989	0.06503874614866204	-2.308439644620599
RSAU_001462	HAD-superfamily hydrolase	lcl_CP006706.1_prot_AGU55288.1_1404	4	lcl_CP006706.1_prot_AGU55288.1_1404	175	1814.2520776041663	AGU55288.1	NA	-0.1544730384442839	0.6604315307823333	-0.5796710551698514
RSAU_001463	5-methylthioadenosine/S-adenosylhomocysteine nucleosidase	lcl_CP006706.1_prot_AGU55289.1_1405	10	lcl_CP006706.1_prot_AGU55289.1_1405	228	15010.506286111113	AGU55289.1	mtnN	0.06604079659227256	0.5104879730587837	0.8404943079764635
RSAU_001464	enterotoxin type A, putative	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_001465	Fic family protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_001466	NRAMP family transporter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_001467	LamB/YcsF family protein	lcl_CP006706.1_prot_AGU55293.1_1409	6	lcl_CP006706.1_prot_AGU55293.1_1409	250	1911.8780625	AGU55293.1	NA	-3.974113377058199	9.947124480452825e-4	-5.162610836108276
RSAU_001468	acetyl-CoA biotin carboxylase	lcl_CP006706.1_prot_AGU55294.1_1410	11	lcl_CP006706.1_prot_AGU55294.1_1410	453	706.1124672777777	AGU55294.1	accC2	-5.957005000585546	6.682684129451975e-5	-6.67032404344262
RSAU_001469	acetyl-CoA carboxylase, biotin carboxyl carrier protein, putative	lcl_CP006706.1_prot_AGU55295.1_1411	3	lcl_CP006706.1_prot_AGU55295.1_1411	149	3238.836454166667	AGU55295.1	accB2	-5.496750890355815	6.162475643554505e-5	-6.987332523045557
RSAU_001470	allophanate hydrolase subunit 2	lcl_CP006706.1_prot_AGU55296.1_1412	7	lcl_CP006706.1_prot_AGU55296.1_1412	336	1316.7999039473682	AGU55296.1	NA	-6.152839426344225	5.282875554604403e-8	-13.49789966090701
RSAU_001471	allophanate hydrolase subunit 1	lcl_CP006706.1_prot_AGU55297.1_1413	4	lcl_CP006706.1_prot_AGU55297.1_1413	244	1081.2911217948717	AGU55297.1	NA	-4.034244826991415	2.01223953210423e-4	-7.039186543492773
RSAU_001472	transcription elongation factor GreA	lcl_CP006706.1_prot_AGU55298.1_1414	12	lcl_CP006706.1_prot_AGU55298.1_1414	158	44954.56031342593	AGU55298.1	greA	-0.03498574462444097	0.8869222038605009	-0.1962453151508003
RSAU_001473	uridine monophosphate kinase	lcl_CP006706.1_prot_AGU55299.1_1415	10	lcl_CP006706.1_prot_AGU55299.1_1415	207	9856.078622756411	AGU55299.1	udk	-1.067099580106952	9.23045541053454e-6	-7.216024530961617
RSAU_001474	peptidase, U32 family	lcl_CP006706.1_prot_AGU55300.1_1416	5	lcl_CP006706.1_prot_AGU55300.1_1416	422	504.6253030701757	AGU55300.1	NA	-0.5743250372271793	0.1566481035618743	-1.755922401341644
RSAU_001475	peptidase, U32 family	lcl_CP006706.1_prot_AGU55301.1_1417	6	lcl_CP006706.1_prot_AGU55301.1_1417	307	963.5110269047618	AGU55301.1	NA	-0.369391608187464	0.167829793108969	-1.709276598156253
RSAU_001476	O-methyltransferase, predicted	lcl_CP006706.1_prot_AGU55302.1_1418	6	lcl_CP006706.1_prot_AGU55302.1_1418	212	1340.020416287879	AGU55302.1	NA	1.191452001317278	0.02319242378634389	2.900162034262827
RSAU_001477	hypothetical protein	lcl_CP006706.1_prot_AGU55303.1_1419	3	lcl_CP006706.1_prot_AGU55303.1_1419	102	311868.319375	AGU55303.1	NA	0.5251490092822275	0.1652291077388859	1.719840687229592
RSAU_001478	Holliday junction resolvase, putative	lcl_CP006706.1_prot_AGU55304.1_1420	5	lcl_CP006706.1_prot_AGU55304.1_1420	142	5835.547351249999	AGU55304.1	NA	-0.3461709445877724	0.01557504799741796	-3.113610709022529
RSAU_001479	hypothetical protein with DUF935	lcl_CP006706.1_prot_AGU55305.1_1421	4	lcl_CP006706.1_prot_AGU55305.1_1421	86	32763.206356250008	AGU55305.1	NA	1.021301843632733	0.002567742457203813	4.054809167208181
RSAU_001480	alanyl-tRNA synthetase	lcl_CP006706.1_prot_AGU55306.1_1422	42	lcl_CP006706.1_prot_AGU55306.1_1422	877	17092.00506293403	AGU55306.1	alaS	0.2277845630134639	0.0593597862025405	2.366000039947973
RSAU_001481	RecD-TraA family helicase, putative	lcl_CP006706.1_prot_AGU55307.1_1423	15	lcl_CP006706.1_prot_AGU55307.1_1423	825	1357.5973567857145	AGU55307.1	NA	-0.2398788130841904	0.08712690527173186	-2.135467154849118
RSAU_001482	TPR domain protein	lcl_CP006706.1_prot_AGU55308.1_1424	6	lcl_CP006706.1_prot_AGU55308.1_1424	222	1305.28123125	AGU55308.1	NA	0.3949139499767143	0.05056622077137841	2.462244066067682
RSAU_001483	tRNA-specific 5-methylaminomethyl-2-thiouridylate-methyltransferase	lcl_CP006706.1_prot_AGU55309.1_1425	11	lcl_CP006706.1_prot_AGU55309.1_1425	372	4608.089952696078	AGU55309.1	trmU	-0.5375664774175114	0.002868368553607911	-3.995262161981785
RSAU_001484	cysteine desulfurase, putative	lcl_CP006706.1_prot_AGU55310.1_1426	5	lcl_CP006706.1_prot_AGU55310.1_1426	380	2521.806550378788	AGU55310.1	NA	0.4785939361394185	0.1598349390663239	1.741507503603417
RSAU_001485	flavin-dependent oxidoreductase, putative	lcl_CP006706.1_prot_AGU55311.1_1427	18	lcl_CP006706.1_prot_AGU55311.1_1427	337	10848.289025694443	AGU55311.1	NA	2.111544784869125	3.907460291007591e-4	5.05658900013731
RSAU_001486	hypothetical protein	lcl_CP006706.1_prot_AGU55312.1_1428	6	lcl_CP006706.1_prot_AGU55312.1_1428	48	165196.88727083334	AGU55312.1	NA	-1.41949351980785	6.57499001219324e-4	-4.776416524263203
RSAU_001487	putative staphylococcal protein	lcl_CP006706.1_prot_AGU55313.1_1429	7	lcl_CP006706.1_prot_AGU55313.1_1429	60	37616.470138888886	AGU55313.1	NA	-0.07348235694950536	0.879226938219635	-0.207614818536754
RSAU_001488	transcriptional regulator, putative	lcl_CP006706.1_prot_AGU55314.1_1430	3	lcl_CP006706.1_prot_AGU55314.1_1430	140	16696.79033809524	AGU55314.1	NA	0.004764136437488569	0.9754768278412549	0.03912932968228882
RSAU_001489	recombination factor RarA	lcl_CP006706.1_prot_AGU55315.1_1431	14	lcl_CP006706.1_prot_AGU55315.1_1431	424	1629.660036419753	AGU55315.1	NA	-0.4531210961370654	5.349301287363117e-4	-4.891880146034413
