proteinID	LocusTag	location	proteinID2	description	strand	geneStart	geneEnd	gap_start	gap_end	gap_length	gap_treatment	gap_strand	overlap_type
AGU55341.1	RSAU_001517	complement(1637557..1637934)	AGU55341.1	Transposon transposase C, putative	-	1637557	1637934	1608598	1697363	88765	PASN	+	Gene within gap
AGU55342.1	RSAU_001518	complement(1637941..1639833)	AGU55342.1	Transposon transposase B, putative	-	1637941	1639833	1608598	1697363	88765	PASN	+	Gene within gap
AGU55343.1	RSAU_001519	complement(1639830..1640894)	AGU55343.1	transposase A, putative	-	1639830	1640894	1608598	1697363	88765	PASN	+	Gene within gap
AGU55344.1	RSAU_001520	complement(1641035..1641589)	AGU55344.1	DNA repair protein RadC, putative	-	1641035	1641589	1608598	1697363	88765	PASN	+	Gene within gap
AGU55345.1	RSAU_001521	complement(1641586..1642293)	AGU55345.1	leader peptidase, putative	-	1641586	1642293	1608598	1697363	88765	PASN	+	Gene within gap
AGU55346.1	RSAU_001522	complement(1642561..1643832)	AGU55346.1	folylpolyglutamate synthase, putative	-	1642561	1643832	1608598	1697363	88765	PASN	+	Gene within gap
AGU55347.1	RSAU_001523	complement(1643874..1646474)	AGU55347.1	valyl-tRNA synthetase	-	1643874	1646474	1608598	1697363	88765	PASN	+	Gene within gap
AGU55348.1	RSAU_001524	1646879..1647439	AGU55348.1	DNA-3-methyladenine glycosidase	+	1646879	1647439	1608598	1697363	88765	PASN	+	Gene within gap
AGU55349.1	RSAU_001525	complement(1647662..1648735)	AGU55349.1	AbrB-like protein	-	1647662	1648735	1608598	1697363	88765	PASN	+	Gene within gap
AGU55350.1	RSAU_001526	complement(1648931..1650217)	AGU55350.1	glutamate-1-semialdehyde aminotransferase	-	1648931	1650217	1608598	1697363	88765	PASN	+	Gene within gap
AGU55351.1	RSAU_001527	complement(1650265..1651239)	AGU55351.1	delta-aminolevulinic acid dehydratase	-	1650265	1651239	1608598	1697363	88765	PASN	+	Gene within gap
AGU55352.1	RSAU_001528	complement(1651242..1651910)	AGU55352.1	uroporphyrinogen-III synthase	-	1651242	1651910	1608598	1697363	88765	PASN	+	Gene within gap
AGU55353.1	RSAU_001529	complement(1651932..1652858)	AGU55353.1	porphobilinogen deaminase	-	1651932	1652858	1608598	1697363	88765	PASN	+	Gene within gap
AGU55354.1	RSAU_001530	complement(1652900..1653715)	AGU55354.1	hemA concentration negative effector	-	1652900	1653715	1608598	1697363	88765	PASN	+	Gene within gap
AGU55355.1	RSAU_001531	complement(1653737..1655083)	AGU55355.1	glutamyl-tRNA reductase	-	1653737	1655083	1608598	1697363	88765	PASN	+	Gene within gap
AGU55356.1	RSAU_001532	complement(1655300..1655890)	AGU55356.1	GTP-binding protein engB	-	1655300	1655890	1608598	1697363	88765	PASN	+	Gene within gap
AGU55357.1	RSAU_001533	complement(1656044..1657306)	AGU55357.1	ATP-dependent Clp protease, ATP-binding subunit ClpX	-	1656044	1657306	1608598	1697363	88765	PASN	+	Gene within gap
AGU55358.1	RSAU_001534	complement(1657457..1658758)	AGU55358.1	trigger factor	-	1657457	1658758	1608598	1697363	88765	PASN	+	Gene within gap
AGU55359.1	RSAU_001535	complement(1658919..1659848)	AGU55359.1	hypothetical protein	-	1658919	1659848	1608598	1697363	88765	PASN	+	Gene within gap
AGU55360.1	RSAU_001536	complement(1659867..1660475)	AGU55360.1	MutT-nudix family protein	-	1659867	1660475	1608598	1697363	88765	PASN	+	Gene within gap
AGU55361.1	RSAU_001537	complement(1660617..1660973)	AGU55361.1	50S ribosomal protein L20	-	1660617	1660973	1608598	1697363	88765	PASN	+	Gene within gap
AGU55362.1	RSAU_001538	complement(1661020..1661220)	AGU55362.1	50S ribosomal protein L35	-	1661020	1661220	1608598	1697363	88765	PASN	+	Gene within gap
AGU55363.1	RSAU_001539	complement(1661249..1661851)	AGU55363.1	translation initiation factor IF-3	-	1661249	1661851	1608598	1697363	88765	PASN	+	Gene within gap
AGU55364.1	RSAU_001540	complement(1662004..1663497)	AGU55364.1	lysine-specific permease	-	1662004	1663497	1608598	1697363	88765	PASN	+	Gene within gap
AGU55365.1	RSAU_001541	complement(1663924..1665861)	AGU55365.1	threonyl-tRNA synthetase	-	1663924	1665861	1608598	1697363	88765	PASN	+	Gene within gap
AGU55366.1	RSAU_001542	complement(1666273..1667193)	AGU55366.1	primosomal protein DnaI	-	1666273	1667193	1608598	1697363	88765	PASN	+	Gene within gap
AGU55367.1	RSAU_001543	complement(1667193..1668593)	AGU55367.1	chromosome replication initiation/membrane attachment protein	-	1667193	1668593	1608598	1697363	88765	PASN	+	Gene within gap
AGU55368.1	RSAU_001544	complement(1668594..1669064)	AGU55368.1	transcriptional regulator NrdR, putative	-	1668594	1669064	1608598	1697363	88765	PASN	+	Gene within gap
AGU55369.1	RSAU_001545	complement(1669274..1670299)	AGU55369.1	glyceraldehyde 3-phosphate dehydrogenase	-	1669274	1670299	1608598	1697363	88765	PASN	+	Gene within gap
AGU55370.1	RSAU_001546	complement(1670469..1671092)	AGU55370.1	putative dephospho-CoA kinase	-	1670469	1671092	1608598	1697363	88765	PASN	+	Gene within gap
AGU55371.1	RSAU_001547	complement(1671108..1671980)	AGU55371.1	formamidopyrimidine-DNA glycosidaseMutM, putative	-	1671108	1671980	1608598	1697363	88765	PASN	+	Gene within gap
AGU55372.1	RSAU_001548	complement(1671996..1674626)	AGU55372.1	DNA polymerase I	-	1671996	1674626	1608598	1697363	88765	PASN	+	Gene within gap
AGU55373.1	RSAU_001549	complement(1674919..1676406)	AGU55373.1	membrane protein, putative	-	1674919	1676406	1608598	1697363	88765	PASN	+	Gene within gap
AGU55374.1	RSAU_001550	complement(1676906..1678570)	AGU55374.1	sensory box histidine kinase PhoR, putative	-	1676906	1678570	1608598	1697363	88765	PASN	+	Gene within gap
AGU55375.1	RSAU_001551	complement(1678567..1679271)	AGU55375.1	two-component response regulator PhoP, putative	-	1678567	1679271	1608598	1697363	88765	PASN	+	Gene within gap
AGU55376.1	RSAU_001552	complement(1679660..1680928)	AGU55376.1	isocitrate dehyrogenase	-	1679660	1680928	1608598	1697363	88765	PASN	+	Gene within gap
AGU55377.1	RSAU_001553	complement(1680977..1682098)	AGU55377.1	methylcitrate synthase	-	1680977	1682098	1608598	1697363	88765	PASN	+	Gene within gap
AGU55378.1	RSAU_001554	1682446..1683807	AGU55378.1	D-serine/D-alanine/glycine permease	+	1682446	1683807	1608598	1697363	88765	PASN	+	Gene within gap
AGU55379.1	RSAU_001555	complement(1684154..1685911)	AGU55379.1	pyruvate kinase	-	1684154	1685911	1608598	1697363	88765	PASN	+	Gene within gap
AGU55380.1	RSAU_001556	complement(1685933..1686901)	AGU55380.1	6-phosphofructokinase	-	1685933	1686901	1608598	1697363	88765	PASN	+	Gene within gap
AGU55381.1	RSAU_001557	complement(1687170..1688114)	AGU55381.1	acetyl-CoA carboxylase, carboxyl transferase, alpha subunit	-	1687170	1688114	1608598	1697363	88765	PASN	+	Gene within gap
AGU55382.1	RSAU_001558	complement(1688114..1688971)	AGU55382.1	acetyl-CoA carboxylase, carboxyl transferase, beta subunit	-	1688114	1688971	1608598	1697363	88765	PASN	+	Gene within gap
AGU55383.1	RSAU_001559	complement(1689166..1690395)	AGU55383.1	NADP-dependent malic enzyme, putative	-	1689166	1690395	1608598	1697363	88765	PASN	+	Gene within gap
AGU55384.1	RSAU_001560	complement(1690845..1694042)	AGU55384.1	DNA polymerase III, alpha chain	-	1690845	1694042	1608598	1697363	88765	PASN	+	Gene within gap
AGU55385.1	RSAU_001561	complement(1694063..1695004)	AGU55385.1	Exopolyphosphatase-related protein	-	1694063	1695004	1608598	1697363	88765	PASN	+	Gene within gap
AGU55386.1	RSAU_001562	complement(1695404..1696702)	AGU55386.1	transcriptional regulator containing CBS domains, putative	-	1695404	1696702	1608598	1697363	88765	PASN	+	Gene within gap
AGU54955.1	RSAU_001125	1208118..1209002	AGU54955.1	GTPase YlqF, putative	+	1208118	1209002	1207776	1283074	75298	PASN	-	Gene within gap
AGU54956.1	RSAU_001126	1208986..1209753	AGU54956.1	ribonuclease HII	+	1208986	1209753	1207776	1283074	75298	PASN	-	Gene within gap
AGU54957.1	RSAU_001127	1209862..1211028	AGU54957.1	succinyl-CoA synthetase, beta subunit	+	1209862	1211028	1207776	1283074	75298	PASN	-	Gene within gap
AGU54958.1	RSAU_001128	1211050..1211958	AGU54958.1	succinyl-CoA synthetase, alpha subunit	+	1211050	1211958	1207776	1283074	75298	PASN	-	Gene within gap
AGU54959.1	RSAU_001129	1212185..1212397	AGU54959.1	cell wall hydrolase LytN, putative	+	1212185	1212397	1207776	1283074	75298	PASN	-	Gene within gap
AGU54960.1	RSAU_001130	1212425..1213669	AGU54960.1	endopeptidase resistance protein FmhC	+	1212425	1213669	1207776	1283074	75298	PASN	-	Gene within gap
AGU54961.1	RSAU_001131	1213841..1214713	AGU54961.1	DNA processing protein DprA	+	1213841	1214713	1207776	1283074	75298	PASN	-	Gene within gap
AGU54962.1	RSAU_001132	1214886..1216961	AGU54962.1	DNA topoisomerase I	+	1214886	1216961	1207776	1283074	75298	PASN	-	Gene within gap
AGU54963.1	RSAU_001133	1217117..1218424	AGU54963.1	tRNA (uracil-5-)-methyltransferase Gid	+	1217117	1218424	1207776	1283074	75298	PASN	-	Gene within gap
AGU54964.1	RSAU_001134	1218841..1219737	AGU54964.1	tyrosine recombinase XerC	+	1218841	1219737	1207776	1283074	75298	PASN	-	Gene within gap
AGU54965.1	RSAU_001135	1219734..1220279	AGU54965.1	ATP-dependent protease, subunit HslV	+	1219734	1220279	1207776	1283074	75298	PASN	-	Gene within gap
AGU54966.1	RSAU_001136	1220345..1221748	AGU54966.1	ATP-dependent protease ATP-binding subunit HslU	+	1220345	1221748	1207776	1283074	75298	PASN	-	Gene within gap
AGU54967.1	RSAU_001137	1221773..1222546	AGU54967.1	GTP-sensing pleiotropic transcriptional repressor CodY	+	1221773	1222546	1207776	1283074	75298	PASN	-	Gene within gap
AGU54968.1	RSAU_001138	1222888..1223655	AGU54968.1	30S ribosomal protein S2	+	1222888	1223655	1207776	1283074	75298	PASN	-	Gene within gap
AGU54969.1	RSAU_001139	1223837..1224718	AGU54969.1	elongation factor Ts	+	1223837	1224718	1207776	1283074	75298	PASN	-	Gene within gap
AGU54970.1	RSAU_001140	1224855..1225577	AGU54970.1	uridylate kinase	+	1224855	1225577	1207776	1283074	75298	PASN	-	Gene within gap
AGU54971.1	RSAU_001141	1225596..1226150	AGU54971.1	ribosome recycling factor	+	1225596	1226150	1207776	1283074	75298	PASN	-	Gene within gap
AGU54972.1	RSAU_001142	1226523..1227293	AGU54972.1	undecaprenyl pyrophosphate synthetase	+	1226523	1227293	1207776	1283074	75298	PASN	-	Gene within gap
AGU54973.1	RSAU_001143	1227300..1228082	AGU54973.1	phosphatidate cytidylyltransferase	+	1227300	1228082	1207776	1283074	75298	PASN	-	Gene within gap
AGU54974.1	RSAU_001144	1228294..1229580	AGU54974.1	membrane-associated zinc metalloprotease, putative	+	1228294	1229580	1207776	1283074	75298	PASN	-	Gene within gap
AGU54975.1	RSAU_001145	1229600..1231303	AGU54975.1	prolyl-tRNA synthetase	+	1229600	1231303	1207776	1283074	75298	PASN	-	Gene within gap
AGU54976.1	RSAU_001146	1231561..1235877	AGU54976.1	Gram-positive type DNA polymerase III, alpha subunit	+	1231561	1235877	1207776	1283074	75298	PASN	-	Gene within gap
AGU54977.1	RSAU_001147	1236165..1236632	AGU54977.1	ribosome maturation factor RimP	+	1236165	1236632	1207776	1283074	75298	PASN	-	Gene within gap
AGU54978.1	RSAU_001148	1236653..1237432	AGU54978.1	hypothetical protein	+	1236653	1237432	1207776	1283074	75298	PASN	-	Gene within gap
AGU54979.1	RSAU_001149	1237389..1237829	AGU54979.1	hypothetical protein	+	1237389	1237829	1207776	1283074	75298	PASN	-	Gene within gap
AGU54980.1	RSAU_001150	1237850..1238134	AGU54980.1	putative YlxR-domain protein	+	1237850	1238134	1207776	1283074	75298	PASN	-	Gene within gap
AGU54981.1	RSAU_001151	1238131..1238448	AGU54981.1	L7Ae/L30e/S12e/Gadd45 family ribosomal protein	+	1238131	1238448	1207776	1283074	75298	PASN	-	Gene within gap
AGU54982.1	RSAU_001152	1238453..1240570	AGU54982.1	translation initiation factor IF-2	+	1238453	1240570	1207776	1283074	75298	PASN	-	Gene within gap
AGU54983.1	RSAU_001153	1240915..1241307	AGU54983.1	ribosome-binding factor A	+	1240915	1241307	1207776	1283074	75298	PASN	-	Gene within gap
AGU54984.1	RSAU_001154	1241477..1242394	AGU54984.1	tRNA pseudouridine synthase B	+	1241477	1242394	1207776	1283074	75298	PASN	-	Gene within gap
AGU54985.1	RSAU_001155	1242409..1243380	AGU54985.1	bifunctional riboflavin kinase and FMN adenylyltransferase	+	1242409	1243380	1207776	1283074	75298	PASN	-	Gene within gap
AGU54986.1	RSAU_001156	1243495..1243764	AGU54986.1	30S ribosomal protein S15	+	1243495	1243764	1207776	1283074	75298	PASN	-	Gene within gap
AGU54987.1	RSAU_001157	1244134..1246230	AGU54987.1	polyribonucleotide nucleotidyltransferase	+	1244134	1246230	1207776	1283074	75298	PASN	-	Gene within gap
AGU54988.1	RSAU_001158	1246466..1248139	AGU54988.1	metallo-beta-lactamase family protein-like protein	+	1246466	1248139	1207776	1283074	75298	PASN	-	Gene within gap
AGU54989.1	RSAU_001159	1248387..1250765	AGU54989.1	DNA translocase FtsK	+	1248387	1250765	1207776	1283074	75298	PASN	-	Gene within gap
AGU54990.1	RSAU_001160	1250770..1251483	AGU54990.1	transcriptional regulator, GntR family, putative	+	1250770	1251483	1207776	1283074	75298	PASN	-	Gene within gap
AGU54991.1	RSAU_001161	1251514..1252779	AGU54991.1	zinc-dependent peptidase, putative	+	1251514	1252779	1207776	1283074	75298	PASN	-	Gene within gap
AGU54992.1	RSAU_001162	1252779..1254065	AGU54992.1	zinc-dependent peptidase, putative	+	1252779	1254065	1207776	1283074	75298	PASN	-	Gene within gap
AGU54993.1	RSAU_001163	1254065..1254769	AGU54993.1	short chain dehydrogenase, putative	+	1254065	1254769	1207776	1283074	75298	PASN	-	Gene within gap
AGU54994.1	RSAU_001164	1254874..1255701	AGU54994.1	ACT domain protein	+	1254874	1255701	1207776	1283074	75298	PASN	-	Gene within gap
AGU54995.1	RSAU_001165	1255720..1256112	AGU54995.1	transcriptional regulator, putative	+	1255720	1256112	1207776	1283074	75298	PASN	-	Gene within gap
AGU54996.1	RSAU_001166	1256146..1256724	AGU54996.1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	+	1256146	1256724	1207776	1283074	75298	PASN	-	Gene within gap
AGU54997.1	RSAU_001167	1257543..1258694	AGU54997.1	competence/damage-inducible protein CinA	+	1257543	1258694	1207776	1283074	75298	PASN	-	Gene within gap
AGU54998.1	RSAU_001168	1258859..1259902	AGU54998.1	recombinase A	+	1258859	1259902	1207776	1283074	75298	PASN	-	Gene within gap
AGU54999.1	RSAU_001169	1260256..1261815	AGU54999.1	2', 3'-cyclic-nucleotide 2'-phosphodiesterase, putative	+	1260256	1261815	1207776	1283074	75298	PASN	-	Gene within gap
AGU55000.1	RSAU_001170	complement(1262112..1262327)	AGU55000.1	hypothetical protein	-	1262112	1262327	1207776	1283074	75298	PASN	-	Gene within gap
AGU55001.1	RSAU_001171	1262501..1263298	AGU55001.1	metallophosphatase domain protein	+	1262501	1263298	1207776	1283074	75298	PASN	-	Gene within gap
AGU55002.1	RSAU_001172	1263438..1265198	AGU55002.1	2-oxoacid:acceptor oxidoreductase, alpha subunit, putative	+	1263438	1265198	1207776	1283074	75298	PASN	-	Gene within gap
AGU55003.1	RSAU_001173	1265199..1266065	AGU55003.1	2-oxoglutarate ferredoxin oxidoreductase, beta subunit, putative	+	1265199	1266065	1207776	1283074	75298	PASN	-	Gene within gap
AGU55004.1	RSAU_001174	1266160..1266453	AGU55004.1	hypothetical protein	+	1266160	1266453	1207776	1283074	75298	PASN	-	Gene within gap
AGU55005.1	RSAU_001175	1266587..1268131	AGU55005.1	(dimethylallyl)adenosine tRNA methylthiotransferase	+	1266587	1268131	1207776	1283074	75298	PASN	-	Gene within gap
AGU55006.1	RSAU_001176	1268132..1268497	AGU55006.1	putative DUF964-containing protein	+	1268132	1268497	1207776	1283074	75298	PASN	-	Gene within gap
AGU55007.1	RSAU_001177	1268524..1269015	AGU55007.1	thiamine-precursor transporter protein ThiW, putative	+	1268524	1269015	1207776	1283074	75298	PASN	-	Gene within gap
AGU55008.1	RSAU_001178	1269318..1271936	AGU55008.1	DNA mismatch repair protein MutS	+	1269318	1271936	1207776	1283074	75298	PASN	-	Gene within gap
AGU55009.1	RSAU_001179	1271949..1273958	AGU55009.1	DNA mismatch repair protein MutL	+	1271949	1273958	1207776	1283074	75298	PASN	-	Gene within gap
AGU55010.1	RSAU_001180	1273964..1274506	AGU55010.1	glycerol uptake operon antiterminator regulatory protein, putative	+	1273964	1274506	1207776	1283074	75298	PASN	-	Gene within gap
AGU55011.1	RSAU_001181	1274818..1275303	AGU55011.1	IS605/IS200-like transposase, putative	+	1274818	1275303	1207776	1283074	75298	PASN	-	Gene within gap
AGU55012.1	RSAU_001182	1275723..1276541	AGU55012.1	glycerol uptake facilitator protein GlpF	+	1275723	1276541	1207776	1283074	75298	PASN	-	Gene within gap
AGU55013.1	RSAU_001183	1276671..1278167	AGU55013.1	glycerol kinase	+	1276671	1278167	1207776	1283074	75298	PASN	-	Gene within gap
AGU55014.1	RSAU_001184	1278325..1279998	AGU55014.1	aerobic glycerol-3-phosphate dehydrogenase GlpD	+	1278325	1279998	1207776	1283074	75298	PASN	-	Gene within gap
AGU55015.1	RSAU_001185	1280144..1281061	AGU55015.1	lysophospholipase, putative	+	1280144	1281061	1207776	1283074	75298	PASN	-	Gene within gap
AGU55016.1	RSAU_001186	1281079..1282014	AGU55016.1	tRNA delta(2)-isopentenylpyrophosphate transferase	+	1281079	1282014	1207776	1283074	75298	PASN	-	Gene within gap
AGU55017.1	RSAU_001187	1282029..1282262	AGU55017.1	RNA chaperone Hfq	+	1282029	1282262	1207776	1283074	75298	PASN	-	Gene within gap
AGU55018.1	RSAU_001188	complement(1282484..1282960)	AGU55018.1	glutathione peroxidase, putative	-	1282484	1282960	1207776	1283074	75298	PASN	-	Gene within gap
AGU55019.1	RSAU_001189	1283072..1284310	AGU55019.1	GTP-binding protein HflX, putative	+	1283072	1284310	1207776	1283074	75298	PASN	-	Gene start in gap
AGU54274.1	RSAU_000405	445313..449812	AGU54274.1	glutamate synthase [NADPH] large chain	+	445313	449812	445217	512549	67332	PASN	-	Gene within gap
AGU54275.1	RSAU_000406	449830..451293	AGU54275.1	glutamate synthase subunit beta	+	449830	451293	445217	512549	67332	PASN	-	Gene within gap
AGU54276.1	RSAU_000408	452125..453552	AGU54276.1	PTS system, trehalose-specific IIBC component	+	452125	453552	445217	512549	67332	PASN	-	Gene within gap
AGU54277.1	RSAU_000409	453616..455256	AGU54277.1	alpha,alpha-phosphotrehalase, putative	+	453616	455256	445217	512549	67332	PASN	-	Gene within gap
AGU54278.1	RSAU_000410	455281..456009	AGU54278.1	GntR family regulatory protein similar to trehalose operon transcription repressor treR	+	455281	456009	445217	512549	67332	PASN	-	Gene within gap
AGU54279.1	RSAU_000411	456649..457173	AGU54279.1	acetyltransferase, GNAT family, putative	+	456649	457173	445217	512549	67332	PASN	-	Gene within gap
AGU54280.1	RSAU_000412	457242..458939	AGU54280.1	DNA polymerase III, gamma and tau subunits	+	457242	458939	445217	512549	67332	PASN	-	Gene within gap
AGU54281.1	RSAU_000413	459029..459346	AGU54281.1	putative DNA-binding protein, YbaB family	+	459029	459346	445217	512549	67332	PASN	-	Gene within gap
AGU54282.1	RSAU_000414	459353..459949	AGU54282.1	recombination protein RecR	+	459353	459949	445217	512549	67332	PASN	-	Gene within gap
AGU54283.1	RSAU_000418	466451..467788	AGU54283.1	Orn/Lys/Arg decarboxylase, putative	+	466451	467788	445217	512549	67332	PASN	-	Gene within gap
AGU54284.1	RSAU_000419	467790..468407	AGU54284.1	thymidylate kinase	+	467790	468407	445217	512549	67332	PASN	-	Gene within gap
AGU54285.1	RSAU_000420	468435..468764	AGU54285.1	glutamine synthetase regulatory protein, putative	+	468435	468764	445217	512549	67332	PASN	-	Gene within gap
AGU54286.1	RSAU_000421	468978..469904	AGU54286.1	DNA-directed DNA polymerase III delta prime subunit	+	468978	469904	445217	512549	67332	PASN	-	Gene within gap
AGU54287.1	RSAU_000422	469905..470708	AGU54287.1	PSP1-like protein	+	469905	470708	445217	512549	67332	PASN	-	Gene within gap
AGU54288.1	RSAU_000423	470725..471072	AGU54288.1	DNA replication initiation control protein YabA	+	470725	471072	445217	512549	67332	PASN	-	Gene within gap
AGU54289.1	RSAU_000424	471346..472071	AGU54289.1	methyltransferase, putative	+	471346	472071	445217	512549	67332	PASN	-	Gene within gap
AGU54290.1	RSAU_000425	472064..472312	AGU54290.1	endonuclease, putative	+	472064	472312	445217	512549	67332	PASN	-	Gene within gap
AGU54291.1	RSAU_000426	472314..473153	AGU54291.1	tetrapyrrole methylase family protein	+	472314	473153	445217	512549	67332	PASN	-	Gene within gap
AGU54292.1	RSAU_000427	473438..475411	AGU54292.1	methionyl-tRNA synthetase	+	473438	475411	445217	512549	67332	PASN	-	Gene within gap
AGU54293.1	RSAU_000428	475442..476215	AGU54293.1	TatD-related Mg-dependent DNase, putative	+	475442	476215	445217	512549	67332	PASN	-	Gene within gap
AGU54294.1	RSAU_000429	476382..476918	AGU54294.1	ribonuclease M5-like primase-related protein	+	476382	476918	445217	512549	67332	PASN	-	Gene within gap
AGU54295.1	RSAU_000430	476929..477822	AGU54295.1	dimethyladenosine transferase	+	476929	477822	445217	512549	67332	PASN	-	Gene within gap
AGU54296.1	RSAU_000431	477922..478185	AGU54296.1	VEG protein	+	477922	478185	445217	512549	67332	PASN	-	Gene within gap
AGU54297.1	RSAU_000432	478495..479343	AGU54297.1	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	+	478495	479343	445217	512549	67332	PASN	-	Gene within gap
AGU54298.1	RSAU_000433	479357..480181	AGU54298.1	pur operon repressor PurR	+	479357	480181	445217	512549	67332	PASN	-	Gene within gap
AGU54299.1	RSAU_000434	480198..480578	AGU54299.1	adenine-mediated repressor of purine biosynthetic genes YabJ	+	480198	480578	445217	512549	67332	PASN	-	Gene within gap
AGU54300.1	RSAU_000435	480650..480952	AGU54300.1	stage V sporulation protein G	+	480650	480952	445217	512549	67332	PASN	-	Gene within gap
AGU54301.1	RSAU_000438	482047..483399	AGU54301.1	UDP-N-acetylglucosamine pyrophosphorylase	+	482047	483399	445217	512549	67332	PASN	-	Gene within gap
AGU54302.1	RSAU_000439	483546..484511	AGU54302.1	ribose-phosphate pyrophosphokinase	+	483546	484511	445217	512549	67332	PASN	-	Gene within gap
AGU54303.1	RSAU_000440	484661..485302	AGU54303.1	50S ribosomal protein L25/general stress protein Ctc	+	484661	485302	445217	512549	67332	PASN	-	Gene within gap
AGU54304.1	RSAU_000441	485613..486185	AGU54304.1	peptidyl-tRNA hydrolase	+	485613	486185	445217	512549	67332	PASN	-	Gene within gap
AGU54305.1	RSAU_000442	486293..489691	AGU54305.1	transcription-repair coupling factor	+	486293	489691	445217	512549	67332	PASN	-	Gene within gap
